layer;name_before;name_new;swmm_attr;plugin_version
storages;Apond;Coeff;A-Value / Coefficient;0.14
weirs;Coeff_Curv;CoeffCurve;Weir Curve;0.15
weirs;Roadwidth;RoadWidth;Weir Width;0.15
weirs;Roadsurf;RoadSurf;Road Surface;0.15
conduits;Inlet;Kentry;Entry Loss Coeff.;0.14
conduits;Outlet;Kexit;Exit Loss Coeff.;0.14
conduits;Average;Kavg;Avg. Loss Coeff.;0.14
outlets;Rate_Curve;RateCurve;Rating Curve;0.15
dividers;CutOffFlow;CutoffFlow;Cutoff Flow;0.15
subcatchments;kind;InfMethod;Infiltration Method;0.15
